paper_id,rank,title,doi,priority_score,status,primary_bucket,candidate_path,reason
paper_01,1,"Intraday Seasonality in Efficiency, Liquidity, Volatility and Volume: Platinum and Gold Futures in Tokyo and New York",10.2139/ssrn.3021533,55,selected_for_pdf_collection,gold_xau,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_02,2,Intraday Momentum in Chinese Commodity Futures Markets,10.2139/ssrn.3577431,54,selected_for_pdf_collection,intraday_momentum_reversal,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_03,3,Time Series Momentum and Reversal: Intraday Information from Realized Semivariance,10.2139/ssrn.3584014,50,selected_for_pdf_collection,intraday_momentum_reversal,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_04,4,Forecasting Intraday Volatility: Evidence from China Gold Futures Market,10.2139/ssrn.4359812,49,selected_for_pdf_collection,gold_xau,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_05,5,Liquidity and Volatility in the Chinese Commodity Futures Market: Evidence from Intraday Data,10.2139/ssrn.2626040,48,selected_for_pdf_collection,intraday_momentum_reversal,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_06,6,Intraday time‐series momentum: Evidence from China,10.1002/fut.22084,47,selected_for_pdf_collection,intraday_momentum_reversal,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_07,7,News Sentiment and Commodity Futures Investing,10.2139/ssrn.4870724,47,selected_for_pdf_collection,gold_xau,candidate/news_overlay,Selected from 221-paper SSRN/Crossref corpus for candidate/news_overlay; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_08,8,Novel and Old News Sentiment in Commodity Futures Markets,10.2139/ssrn.4755296,47,selected_for_pdf_collection,gold_xau,candidate/news_overlay,Selected from 221-paper SSRN/Crossref corpus for candidate/news_overlay; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_09,9,Momentum Strategies in Futures Markets and Trend-following Funds,10.2139/ssrn.1968996,47,selected_for_pdf_collection,intraday_momentum_reversal,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_10,10,"Reversal, Momentum and Intraday Returns",10.2139/ssrn.2991183,46,selected_for_pdf_collection,intraday_momentum_reversal,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_11,11,Is There an Intraday Momentum Effect in Commodity Futures and Options: Evidence from the Chinese Market,10.2139/ssrn.4688712,45,selected_for_pdf_collection,intraday_momentum_reversal,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_12,12,Market Sentiment in Commodity Futures Returns,10.2139/ssrn.1934397,45,selected_for_pdf_collection,gold_xau,candidate/news_overlay,Selected from 221-paper SSRN/Crossref corpus for candidate/news_overlay; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_13,13,Predicting Intraday Trading Volume with News Sentiment: An Analysis of U.S. Airline Stocks,10.2139/ssrn.5534038,45,selected_for_pdf_collection,intraday_momentum_reversal,candidate/news_overlay,Selected from 221-paper SSRN/Crossref corpus for candidate/news_overlay; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_14,14,Gold Silver Pair Trading -Mean Reversion Strategy Using Machine Learning,10.22541/au.176523297.71168178/v1,44,selected_for_pdf_collection,gold_xau,candidate/news_overlay,Selected from 221-paper SSRN/Crossref corpus for candidate/news_overlay; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_15,15,Cross-Market Intraday Time-Series Momentum,10.2139/ssrn.4765613,44,selected_for_pdf_collection,intraday_momentum_reversal,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_16,16,Market Intraday Momentum in Japan: Evidence from the Nikkei Stock Index,10.2139/ssrn.4816793,44,selected_for_pdf_collection,intraday_momentum_reversal,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_17,17,"Trend Following, Risk Parity and Momentum in Commodity Futures",10.2139/ssrn.2126813,42,selected_for_pdf_collection,intraday_momentum_reversal,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_18,18,Time-Series Momentum in the Chinese Commodity Futures Market,10.2139/ssrn.3311479,42,selected_for_pdf_collection,intraday_momentum_reversal,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_19,19,Scheduled FOMC Statements and Cryptocurrency Trading Activity: Intraday Evidence from a 24/7 Market,10.2139/ssrn.6299551,42,selected_for_pdf_collection,intraday_momentum_reversal,candidate/news_overlay,Selected from 221-paper SSRN/Crossref corpus for candidate/news_overlay; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_20,20,News Sentiment in the Gold Futures Market,10.2139/ssrn.2309868,41,selected_for_pdf_collection,gold_xau,candidate/news_overlay,Selected from 221-paper SSRN/Crossref corpus for candidate/news_overlay; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_21,21,Commodity Futures Trading Strategies:  Trend-Following and Calendar Spreads,10.2139/ssrn.2942340,41,selected_for_pdf_collection,intraday_momentum_reversal,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_22,22,Partially Overlapping Time Series: A New Model for Volatility Dynamics in Commodity Futures,10.2139/ssrn.711386,41,selected_for_pdf_collection,intraday_momentum_reversal,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_23,23,Momentum Strategies in Commodity Futures Markets,10.2139/ssrn.702281,40,selected_for_pdf_collection,intraday_momentum_reversal,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_24,24,Factor Momentum in Commodity Futures Markets,10.2139/ssrn.4726027,40,selected_for_pdf_collection,intraday_momentum_reversal,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_25,25,Adaptive Time Series Momentum: An Objective Benchmark for Systematic Trend-Following Strategies,10.2139/ssrn.2772047,39,selected_for_pdf_collection,intraday_momentum_reversal,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_26,26,The Impact of Futures Trading on Intraday Spot Volatility and Liquidity: Evidence from Bitcoin Market,10.2139/ssrn.3094647,39,selected_for_pdf_collection,intraday_momentum_reversal,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_27,27,Investor Sentiment in Gold and Gold Futures Market: Evidence from Chatgpt-Generated Sentiment Index,10.2139/ssrn.4877214,39,selected_for_pdf_collection,gold_xau,candidate/news_overlay,Selected from 221-paper SSRN/Crossref corpus for candidate/news_overlay; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_28,28,Long Memory and Periodicity in Intraday Volatility of Stock Index Futures,10.2139/ssrn.1460625,38,selected_for_pdf_collection,intraday_momentum_reversal,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_29,29,Market microstructure of FT-SE 100 index futures: An intraday empirical analysis,10.1002/(sici)1096-9934(199902)19:1<31::aid-fut2>3.0.co;2-h,37,selected_for_pdf_collection,intraday_momentum_reversal,candidate/news_overlay,Selected from 221-paper SSRN/Crossref corpus for candidate/news_overlay; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
paper_30,30,Intraday Time Series Momentum: International Evidence,10.2139/ssrn.3460965,37,selected_for_pdf_collection,intraday_momentum_reversal,candidate/regime_or_session_filter,Selected from 221-paper SSRN/Crossref corpus for candidate/regime_or_session_filter; high prop priority score and relevance to XAU/futures/intraday/news/volatility.
